sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
;60;Session genius.core.session.Session@8583fa0 failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class];60rounds;No;;0;;;;;;Agent10;Agent10;Agent10;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
0.453;61;;60rounds;No;No;2;0.00000;0.00000;1.16592;1.41181;0.00000;BoulwareNegotiationParty@3;Agent10@4;Agent10@5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.004;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.394;61;;60rounds;Yes;No;3;0.47014;0.73487;0.20681;0.40409;1.88065;ConcederNegotiationParty@6;Agent10@7;Agent10@8;0.47014323922789353;0.6756388256525959;0.7348707230367404;0.47014323922789353;0.6756388256525959;0.7348707230367404;0.34543224118796345;0.7832651881351635;0.5230957761310412;0.0;0.001;0.003;0.47014323922789353;0.6746388256525959;0.7318707230367404;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.362;56;;60rounds;Yes;No;3;0.68499;0.88151;0.00000;0.26212;2.28320;Agent10@9;BoulwareNegotiationParty@10;Agent10@11;0.8815139775362884;0.6849938461633399;0.7166903495694148;0.8815139775362884;0.6849938461633399;0.7166903495694148;1.0;0.462336446658242;0.2601744179100367;0.001;0.0;0.02000000000000001;0.8805139775362884;0.6849938461633399;0.6966903495694148;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.343;56;;60rounds;Yes;No;3;0.68499;0.88151;0.00000;0.26212;2.28320;BoulwareNegotiationParty@12;BoulwareNegotiationParty@13;Agent10@14;0.8815139775362884;0.6849938461633399;0.7166903495694148;0.8815139775362884;0.6849938461633399;0.7166903495694148;1.0;0.462336446658242;0.2601744179100367;0.0;0.0;0.02000000000000001;0.8815139775362884;0.6849938461633399;0.6966903495694148;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.357;56;;60rounds;Yes;No;3;0.68499;0.88151;0.00000;0.26212;2.28320;ConcederNegotiationParty@15;BoulwareNegotiationParty@16;Agent10@17;0.8815139775362884;0.6849938461633399;0.7166903495694148;0.8815139775362884;0.6849938461633399;0.7166903495694148;1.0;0.462336446658242;0.2601744179100367;0.0;0.0;0.02000000000000001;0.8815139775362884;0.6849938461633399;0.6966903495694148;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.209;27;;60rounds;Yes;No;3;0.58678;0.83396;0.00000;0.36394;2.25323;Agent10@18;ConcederNegotiationParty@19;Agent10@20;0.8339614438887759;0.5867755498053294;0.8324946918792657;0.8339614438887759;0.5867755498053294;0.8324946918792657;0.9121760714032905;0.37218046336186966;0.3480716159692028;0.001;0.0;0.022000000000000013;0.8329614438887759;0.5867755498053294;0.8104946918792657;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.205;28;;60rounds;Yes;No;3;0.68499;0.88151;0.00000;0.26212;2.28320;BoulwareNegotiationParty@21;ConcederNegotiationParty@22;Agent10@23;0.8815139775362884;0.6849938461633399;0.7166903495694148;0.8815139775362884;0.6849938461633399;0.7166903495694148;1.0;0.462336446658242;0.2601744179100367;0.0;0.0;0.017000000000000008;0.8815139775362884;0.6849938461633399;0.6996903495694148;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.215;20;;60rounds;Yes;No;3;0.68499;0.88151;0.00000;0.26212;2.28320;ConcederNegotiationParty@24;ConcederNegotiationParty@25;Agent10@26;0.8815139775362884;0.6849938461633399;0.7166903495694148;0.8815139775362884;0.6849938461633399;0.7166903495694148;1.0;0.462336446658242;0.2601744179100367;0.0;0.0;0.017000000000000008;0.8815139775362884;0.6849938461633399;0.6996903495694148;party1_utility.xml;party2_utility.xml;party3_utility.xml
;43;Session genius.core.session.Session@60ed67fd failed: Failed to execute protocol: null:[C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\Agent10.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent10;Agent10;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;party1_utility;party2_utility;party3_utility
